Time;Bus;Typ;Res;Stat/Err;N0;N1;N2;N3;N4;N5;N6;CRC;Rx Time;Sync Time;Skipped
3,6025984934030912;1;0;0;"0000";0;3;6;3;10;2;15;2;124313580;31495;1
3,6178091063148536;1;0;0;"0000";0;4;6;5;1;0;0;15;124320366;31495;1
3,6345171115286057;1;0;0;"1100";12;5;6;0;8;4;0;3;124326802;31496;1
3,64935666372448;1;0;0;"0000";0;6;6;1;4;7;15;2;124333482;31495;1
3,6805787725327956;1;0;0;"1100";12;7;6;2;7;0;4;10;124340268;31495;1
3,6956817244173568;1;0;0;"1000";8;8;6;2;8;3;8;5;124347300;31495;1
3,7118263583780826;1;0;0;"0000";0;9;6;15;8;8;7;13;124354332;31496;1
3,727203804790012;1;0;0;"0000";0;10;6;5;14;4;4;7;124361997;31496;1
3,742561527044286;1;0;0;"0000";0;11;6;4;15;4;15;7;124369100;31495;1
3,758074166120143;1;0;0;"1000";8;12;6;4;15;4;15;5;124376624;31496;1
3,7898703301002152;1;0;0;"0000";0;13;6;2;13;3;10;11;124384394;31495;1
3,8091478177685074;1;0;0;"0100";4;14;6;11;0;8;0;4;124391779;31495;1
3,820454280224395;1;64;0;"1011";11;2;2;8;1;0;9;0;124391779;31495;n/a
3,8370887307668915;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
3,8373615816144553;1;0;0;"1100";12;0;7;1;14;10;4;6;124398776;31484;2
3,8520453951488434;1;0;0;"1000";8;1;7;1;4;10;5;15;124406018;31495;1
3,867648847533905;1;0;0;"1100";12;2;7;0;4;1;8;7;124413156;31495;1
3,882936302476532;1;0;0;"1000";8;3;7;3;10;2;15;12;124419942;31496;1
3,899012312805416;1;0;0;"1100";12;4;7;5;1;0;0;1;124427396;31495;1
3,914400032216124;1;0;0;"1000";8;5;7;0;8;4;0;13;124433795;31495;1
3,9302549676112895;1;0;0;"0100";4;6;7;1;4;7;15;12;124440722;31495;1
3,9453579194958506;1;0;0;"0100";4;7;7;2;7;0;4;4;124448035;31495;1
3,9612831222026625;1;0;0;"1100";12;8;7;2;8;3;8;11;124454611;31496;1
3,978244254106323;1;0;0;"0000";0;9;7;15;8;8;7;3;124462030;31495;1
4,007645165691143;1;0;0;"1000";8;10;7;5;14;4;4;9;124469378;31495;1
4,023586805196;1;0;0;"1000";8;11;7;4;15;4;15;9;124476867;31495;1
4,039258059373002;1;0;0;"0100";4;12;7;4;15;4;15;11;124484778;31495;1
4,070116914944501;1;0;0;"0100";4;13;7;2;13;3;10;5;124492654;31495;1
4,086052390650091;1;0;0;"0100";4;14;7;3;0;8;0;13;124500002;31495;1
4,101837469653562;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
4,102010877872947;1;0;0;"1000";8;0;8;1;14;10;4;15;124507069;31485;2
4,117011510689672;1;0;0;"1100";12;1;8;1;4;10;5;6;124514523;31495;1
4,132483057770414;1;0;0;"0000";0;2;8;0;4;1;8;14;124521521;31495;1
4,148632211850603;1;64;0;"1011";11;3;14;3;10;2;10;0;124521521;31495;n/a
4,164086089373446;1;0;0;"1100";12;3;8;3;10;2;15;5;124528166;31495;1
4,179408061591969;1;0;0;"1100";12;4;8;5;1;0;0;8;124535550;31495;1
4,19622619335263;1;0;0;"1100";12;5;8;0;8;4;0;4;124542230;31495;1
4,213401003630889;1;0;0;"1000";8;6;8;1;4;7;15;5;124549016;31495;1
4,226582493823873;1;0;0;"1000";8;7;8;2;7;0;4;13;124556259;31495;1
4,241846115409333;1;0;0;"1000";8;8;8;1;4;2;0;14;124563326;31495;1
4,257311909610761;1;0;0;"0000";0;9;8;15;8;8;7;10;124570253;31495;1
4,273606529353656;1;0;0;"0100";4;10;8;5;12;1;2;13;124577883;31495;1
4,304114048366922;1;0;0;"1000";8;11;8;4;15;4;15;0;124585162;31496;1
4,319918851528047;1;0;0;"0100";4;12;8;4;15;5;0;5;124592791;31495;1
4,335445050962292;1;0;0;"1100";12;13;8;2;13;5;2;1;124599999;31495;1
4,351285604159167;1;0;0;"1000";8;14;8;11;0;12;0;11;124607312;31495;1
4,382289514473422;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
4,382409092179207;1;0;0;"0100";4;0;9;1;14;10;4;1;124614907;31485;2
4,39775202131524;1;0;0;"0100";4;1;9;1;4;10;5;8;124621763;31496;1
4,413825977044368;1;0;0;"1100";12;2;9;0;4;1;8;0;124628584;31495;1
4,429475863383909;1;0;0;"0000";0;3;9;3;10;2;15;11;124635194;31495;1
4,444591964706907;1;0;0;"0000";0;4;9;5;1;0;0;6;124642402;31495;1
4,460245138406058;1;64;0;"1011";11;4;5;11;8;3;8;0;124648626;31495;n/a
4,4759147489032545;1;0;0;"0000";0;5;9;0;8;4;0;10;124648626;31496;1
4,491258088959238;1;0;0;"1000";8;6;9;1;4;7;15;11;124655237;31495;1
4,5068574321447885;1;0;0;"1100";12;7;9;2;7;0;4;3;124662727;31495;1
4,522535671960959;1;0;0;"1100";12;8;9;1;4;2;0;0;124669617;31495;1
4,538147342745044;1;0;0;"1000";8;9;9;15;8;8;7;4;124676228;31496;1
4,553707237615283;1;0;0;"1000";8;10;9;5;12;1;2;3;124683963;31496;1
4,5693078135606875;1;0;0;"1100";12;11;9;4;15;4;15;14;124691065;31495;1
4,585013174093634;1;0;0;"0000";0;12;9;4;15;5;0;11;124699362;31495;1
4,6176710372112675;1;0;0;"0100";4;13;9;2;13;5;2;15;124706676;31495;1
4,633865392486082;1;0;0;"1000";8;14;9;3;0;12;0;2;124714236;31495;1
4,648042541720702;1;512;0;"0000";0;0;0;0;0;0;0;0;0;0;n/a
4,648217593619893;1;0;0;"0000";0;0;10;1;14;10;5;3;124721268;31485;2
4,663851454081339;1;0;0;"1100";12;1;10;1;4;10;5;7;124728124;31495;1
4,678416100829894;1;0;0;"1100";12;2;10;0;4;1;10;8;124735227;31495;1
4,694028593453881;1;0;0;"0100";4;3;10;3;10;2;15;4;124742224;31495;1
4,725475886395427;1;0;0;"0100";4;4;10;5;1;0;0;9;124749361;31495;1
